,in-state_2016_17_total,in-state_2017_18_total,out_of_state_tuition_&_fees_2017_18_total
United States,3156,3243,7971
Alabama,4362,4403,9133
Alaska,3820,,
Arizona,2129,2152,8067
Arkansas,3195,3291,4762
California,1262,1268,7504
Colorado,3565,3638,10354
Connecticut,4189,4312,12879
Delaware,,,
District of Columbia,,,
Florida,2552,2506,9111
Georgia,2895,2901,8090
Hawaii,3080,3080,8216
Idaho,3227,3282,7732
Illinois,3749,3891,10989
Indiana,4175,4255,8211
Iowa,4791,4923,6581
Kansas,3221,3382,4611
Kentucky,3962,4106,13825
Louisiana,4031,4093,7057
Maine,3673,3698,6498
Maryland,3983,4090,9467
Massachusetts,4785,4991,10006
Michigan,3423,3469,6552
Minnesota,5310,5381,6113
Mississippi,2831,3182,5626
Missouri,3028,3273,6157
Montana,3381,3631,8482
Nebraska,2991,3212,4101
Nevada,2910,3075,9853
New Hampshire,7002,7337,15907
New Jersey,4366,4536,8049
New Mexico,1590,1666,5318
New York,5122,5229,9151
North Carolina,2471,2499,8496
North Dakota,4562,4700,9429
Ohio,3654,3672,7456
Oklahoma,3627,3876,9059
Oregon,4262,4487,8503
Pennsylvania,5048,5173,13679
Rhode Island,4266,4564,12156
South Carolina,4418,4502,9480
South Dakota,5803,6026,5853
Tennessee,4048,4148,16140
Texas,2100,2209,6418
Utah,3690,3781,12020
Vermont,6222,6414,12678
Virginia,4962,5118,11275
Washington,3848,4078,5976
West Virginia,4009,4077,9410
Wisconsin,4292,4337,6257
Wyoming,2987,3142,7678
