,in_state_2016_2017_total ,in_state_2016_2017_tuition_&_fees ,in_state_2017_18_total,in_state_2017_18_tuition_&_fees,in_state_2017_18_room,in_state_2017_18_board,out_of_state_tuition_&_fees_2017_18_total
United States,19488,8804,20050,9037,6227,4786,25657
Alabama,19052,9466,19673,9827,5534,4311,24939
Alaska,17370,7210,18373,7221,6209,4943,21284
Arizona,21491,10057,22629,10557,7081,4992,26067
Arkansas,16871,7924,17479,8187,5139,4153,20061
California,21356,7896,22081,8020,7896,6166,29173
Colorado,20943,9352,21514,9540,5858,6116,29846
Connecticut,24174,11726,25182,12355,7032,5795,33741
Delaware,21698,9578,22371,9999,7382,4990,29356
District of Columbia,,5612,,5756,,,12092
Florida,14806,4435,14896,4455,5856,4585,18241
Georgia,17353,7010,17705,7206,6255,4244,21957
Hawaii,21016,9712,21201,9709,5767,5725,31019
Idaho,14457,7005,15455,7247,3911,4297,22601
Illinois,24541,13636,25089,13971,6035,5084,28618
Indiana,19001,8876,19297,9038,5476,4783,28805
Iowa,17604,8361,18426,8766,5394,4266,26214
Kansas,17560,8489,17963,8737,4813,4414,22615
Kentucky,19673,10014,20745,10365,5889,4490,24632
Louisiana,18319,8813,18835,9165,5664,4007,21632
Maine,19073,9219,19500,9664,5028,4808,26939
Maryland,20670,9094,21177,9289,6821,5067,24353
Massachusetts,24473,12331,25229,12778,7771,4680,29774
Michigan,21832,11890,22665,12435,5127,5103,37600
Minnesota,19727,10883,20420,11226,4983,4210,20736
Mississippi,16843,7472,17718,7980,5688,4051,19691
Missouri,17639,8176,18106,8387,6016,3703,19519
Montana,15241,6503,15800,6783,4184,4834,23678
Nebraska,17379,7732,18449,8188,5517,4744,20555
Nevada,17145,5520,16810,5920,5757,5133,21176
New Hampshire,26968,15491,27570,15949,7047,4574,28130
New Jersey,26070,13297,26542,13633,7966,4943,28649
New Mexico,15528,6825,15803,6718,4567,4518,17533
New York,21750,7709,22343,7938,9260,5145,21662
North Carolina,16635,7218,17343,7354,5633,4355,24274
North Dakota,15388,7376,15998,7687,3479,4832,19021
Ohio,20961,9827,21674,10026,6632,5017,24098
Oklahoma,15755,7219,16263,7623,4589,4052,20200
Oregon,21324,9739,22710,10363,7262,5085,30487
Pennsylvania,25331,14068,25795,14534,6743,4518,27129
Rhode Island,23135,11386,24280,12239,7538,4502,29013
South Carolina,21508,12153,22132,12579,5888,3665,30919
South Dakota,16054,8301,16421,8540,3801,4080,12060
Tennessee,18340,9287,18951,9574,4988,4388,25378
Texas,17800,8376,18271,8645,5175,4451,24937
Utah,13709,6334,14174,6557,3435,4182,20168
Vermont,26786,15537,27782,16103,7381,4297,38968
Virginia,22567,12126,23427,12637,6089,4701,33428
Washington,18053,6903,18323,6830,6146,5347,28263
West Virginia,17096,7241,17803,7619,5465,4718,21032
Wisconsin,16246,8419,16544,8475,4864,3205,23500
Wyoming,14354,4311,14486,4443,4493,5550,13731
