st,occupation,tot_emp,hr_mean,avg_mean
AL,All Occupations,"1,943,760",21.05,"43,790"
AL,Management Occupations,"73,860",52.73,"109,680"
AL,Chief Executives,"1,390",98.36,"204,590"
AL,General and Operations Managers,"28,600",56.94,"118,440"
AL,Legislators,970,*,"31,760"
AL,Advertising and Promotions Managers,50,53.12,"110,480"
AL,Marketing Managers,770,56.82,"118,200"
AL,Sales Managers,"2,390",55.65,"115,750"
AL,Public Relations and Fundraising Managers,510,43.24,"89,950"
AL,Administrative Services Managers,750,45.11,"93,840"
AL,Computer and Information Systems Managers,"3,200",60.72,"126,300"
AL,Financial Managers,"4,910",61.87,"128,690"
AL,Industrial Production Managers,"3,530",49.73,"103,430"
AL,Purchasing Managers,850,51.41,"106,940"
AL,"Transportation, Storage, and Distribution Managers","1,030",42.47,"88,330"
AL,Compensation and Benefits Managers,60,52.20,"108,580"
AL,Human Resources Managers,"1,280",50.57,"105,190"
AL,Training and Development Managers,140,54.52,"113,400"
AL,Construction Managers,"2,850",46.40,"96,500"
AL,"Education Administrators, Preschool and Childcare Center/Program",330,18.80,"39,100"
AL,"Education Administrators, Elementary and Secondary School","3,590",*,"83,420"
AL,"Education Administrators, Postsecondary","2,340",53.83,"111,960"
AL,"Education Administrators, All Other",620,46.07,"95,830"
AL,Architectural and Engineering Managers,"2,290",66.57,"138,470"
AL,Food Service Managers,"2,380",28.17,"58,590"
AL,Funeral Service Managers,160,37.50,"78,000"
AL,Lodging Managers,480,25.51,"53,050"
AL,Medical and Health Services Managers,"3,240",48.83,"101,560"
AL,Natural Sciences Managers,170,53.92,"112,140"
AL,Postmasters and Mail Superintendents,270,37.73,"78,480"
AL,"Property, Real Estate, and Community Association Managers","1,220",31.20,"64,890"
AL,Social and Community Service Managers,"1,200",31.94,"66,430"
AL,Emergency Management Directors,170,33.20,"69,060"
AL,"Managers, All Other","2,110",51.29,"106,680"
AL,Business and Financial Operations Occupations,"74,370",34.47,"71,700"
AL,Buyers and Purchasing Agents,"6,350",32.91,"68,440"
AL,"Claims Adjusters, Examiners, and Investigators","4,080",31.28,"65,060"
AL,"Insurance Appraisers, Auto Damage",370,29.39,"61,130"
