Occupation Title,,Median Annual Wage 2018,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Typical on-the-job Training
Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant,,"70,500",Bachelor's degree,3,None,None
Actors    * Actor Understudy* Actress* Dramatic Reader* Elocutionist* Monologist* Vaudeville Actor* Voice-Over Artist,,N/A,"Some college, no degree",6,None,Long-term on-the-job training
Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary,,"102,880",Bachelor's degree,3,None,Long-term on-the-job training
Adhesive bonding machine operators and tenders    * Glue Line Operator* Glue Machine Operator* Glue Reel Operator* Paper Gluing Operator,,"33,820",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Administrative law judges, adjudicators, and hearing officers    * Appeals Examiner* Appeals Referee* Appellate Conferee* Hearing Examiner* Hearing Officer* Justice of The Peace* Traffic Court Referee",,"99,850",Doctoral or professional degree,1,5 years or more,Short-term on-the-job training
Administrative services managers    * Administrative Services Manager* Business Office Manager* Business Unit Manager* Facilities Manager* Records Management Director* Records and Information Manager,,"96,180",Bachelor's degree,3,Less than 5 years,None
Adult basic and secondary education and literacy teachers and instructors    * Adult Basic Studies Teacher* Adult Education Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* GED Instructor* General Educational Development (GED) Teacher* General Educational Development Teacher,,"53,630",Bachelor's degree,3,None,None
Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* VP Advertising* VP Promotions,,"117,130",Bachelor's degree,3,Less than 5 years,None
Advertising sales agents    * Advertising Account Executive* Advertising Agent* Advertising Solicitor* Display Advertising Sales Representative* Inside Sales Advertising Executive* Outside Sales Advertising Executive* Radio Time Salesperson* Signs and Displays Salesperson* Yellow Pages Space Salesperson,,"51,740",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Aerospace engineering and operations technicians    * Altitude Chamber Technician* Flight Data Technician* Wind Tunnel Technician,,"67,010",Associate's degree,4,None,None
Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer,,"115,220",Bachelor's degree,3,None,None
"Agents and business managers of artists, performers, and athletes    * Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent",,"66,040",Bachelor's degree,3,Less than 5 years,None
Agricultural and food science technicians    * Agriculture Technician* Agronomy Technician* Artificial Breeding Technician* Cotton Program Technician* Dairy Lab Technician* Dairy Technician* Dairy Technologist* Feed Mill Lab Technician* Feed Research Technician* Food Quality Technician* Food Science Technician* Seed Analyst* Sugarcane Research Technician* Weed Science Research Technician,,"40,860",Associate's degree,4,None,Moderate-term on-the-job training
Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer,,"77,110",Bachelor's degree,3,None,None
Agricultural equipment operators    * Cane Flume Chute Operator* Combine Driver* Combine Operator* Corn Detasseler Machine Operator* Cotton Ginner* Cotton Picker Operator* Custom Harvester* Farm Tractor Operator* Hay Baler* Hay Stacker Operator* Rake Operator* Replanting Machine Operator* Tractor Operator* Wheat Combine Driver,,"31,190",No formal educational credential,8,None,Moderate-term on-the-job training
Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector,,"44,140",Bachelor's degree,3,None,Moderate-term on-the-job training
"Agricultural sciences teachers, postsecondary    * Agricultural Soil Conservation Professor* Agronomy Professor* Animal Husbandry Professor* Animal Science Professor* Aquaculture and Fisheries Professor* Farm Management Professor* Floriculture Professor* Horticulture Instructor* Olericulture Professor",,"84,640",Doctoral or professional degree,1,None,None
"Agricultural workers, all other    * Crop Scout* Irrigation Worker* Livestock Showman",,"29,480",No formal educational credential,8,None,Short-term on-the-job training
Air traffic controllers    * Air Traffic Control Operator* Air Traffic Control Specialist* Air Traffic Controller* Air Traffic Coordinator* Airport Tower Controller* Control Tower Operator* Enroute Controller,,"124,540",Associate's degree,4,None,Long-term on-the-job training
Aircraft cargo handling supervisors    * Air Cargo Ground Crew Supervisor* Air Cargo Ground Operations Supervisor* Air Cargo Supervisor* Aircraft Loadmaster* Airport Ramp Supervisor,,"48,610",High school diploma or equivalent,7,Less than 5 years,None
Aircraft mechanics and service technicians    * A&P Mechanic* Aircraft Engine Mechanic* Aircraft Engine Specialist* Airframe Mechanic* Airframe and Power Plant Mechanic* Airplane Rigger* FAA Certified Powerplant Mechanic* Flight Test Mechanic* Helicopter Mechanic* Jet Engine Mechanic* Propeller-Driven Airplane Mechanic,,"62,920",Postsecondary nondegree award,5,None,None
"Aircraft structure, surfaces, rigging, and systems assemblers    * Aircraft De-Icer Installer* Aircraft Fuselage Framer* Aircraft Layout Worker* Aircraft Line Assembler* Aircraft Part Assembler* Aircraft Riveter* Aircraft Sheet Metal Mechanic* Helicopter Airframe Mechanic* Propeller Layout Worker* Wing Coverer",,"53,340",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Airfield operations specialists    * Aviation Operations Specialist* Flight Operations Coordinator,,"52,200",High school diploma or equivalent,7,None,Long-term on-the-job training
"Airline pilots, copilots, and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot",,"140,340",Bachelor's degree,3,Less than 5 years,Moderate-term on-the-job training
"Ambulance drivers and attendants, except emergency medical technicians    * Ambulance Attendant* Emergency Medical Services (EMS) Driver* Emergency Medical Services Driver",,"25,750",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Amusement and recreation attendants    * Amusement Park Worker* Animal Ride Attendant* Arcade Attendant* Carnival Worker* Ferris Wheel Operator* Golf Caddy* Ice Rink Attendant* Ride Operator* Rides Attendant* Ski Lift Attendant* Ski Lift Operator* Sports Complex Attendant,,"22,260",No formal educational credential,8,None,Short-term on-the-job training
Anesthesiologists    * Anaesthesiologist* Anesthesiologist* Anesthetist* Attending Anesthesiologist* Obstetrical Anesthesiologist* Staff Anesthetist,,">=208,000",Doctoral or professional degree,1,None,Internship/residency
Animal breeders    * Animal Breeder* Cat Breeder* Dairy Husbandry Worker* Dog Breeder* Equine Breeder* Horse Breeder* Livestock Breeder* Poultry Inseminator* Stallion Manager,,"37,060",High school diploma or equivalent,7,None,Short-term on-the-job training
Animal control workers    * Animal Control Officer* Animal Cruelty Investigator* Animal Treatment Investigator* Animal Warden* Dog Catcher* Dog Warden* Humane Officer,,"36,330",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Animal scientists    * Animal Geneticist* Animal Nutritionist* Animal Scientist* Beef Cattle Nutritionist* Dairy Scientist* Poultry Scientist* Swine Genetics Researcher,,"58,380",Bachelor's degree,3,None,None
