state,2004_05,2005_06,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20,1_year_percent_change,5_year_percentage_change
Alabama,"$4,510","$4,782","$4,906","$5,244","$5,968","$6,487","$7,373","$8,001","$8,734","$9,161","$9,480","$9,746","$10,083","$10,650","$10,777","$10,918",1%,15%
Alaska,"$3,435","$3,793","$4,194","$4,425","$4,678","$4,922","$5,261","$5,455","$5,785","$5,885","$6,138","$6,703","$7,128","$7,440","$7,821","$8,233",5%,34%
Arizona,"$4,078","$4,434","$4,674","$4,959","$5,584","$6,554","$8,075","$9,435","$9,728","$10,078","$10,396","$10,634","$10,931","$11,210","$11,545","$11,921",3%,15%
Arkansas,"$4,581","$4,980","$5,314","$5,599","$5,914","$5,980","$6,304","$6,654","$6,995","$7,251","$7,594","$7,882","$8,254","$8,550","$8,701","$9,033",4%,19%
California,"$4,195","$4,526","$4,549","$4,951","$5,436","$6,550","$7,485","$8,933","$8,986","$9,078","$9,171","$9,267","$9,302","$9,800","$9,875","$9,966",1%,9%
Colorado,"$3,733","$4,427","$4,772","$5,435","$5,792","$6,270","$7,078","$7,872","$8,441","$9,096","$9,283","$9,748","$10,287","$10,810","$11,157","$11,380",2%,23%
Connecticut,"$6,336","$6,754","$7,135","$7,574","$8,038","$8,456","$8,977","$9,217","$9,635","$10,232","$10,646","$11,174","$11,781","$12,180","$12,744","$13,664",7%,28%
Delaware,"$6,629","$7,050","$7,403","$7,808","$8,291","$9,012","$9,623","$10,438","$10,908","$11,259","$11,495","$11,676","$11,929","$12,180","$12,726","$13,292",4%,16%
District of Columbia,"$2,520","$2,520","$3,210","$3,770","$3,770","$5,370","$7,000","$7,000","$7,244","$7,255","$7,338","$7,421","$7,844","$8,060","$8,252","$8,444",2%,15%
Florida,"$3,054","$3,213","$3,315","$3,386","$3,825","$4,316","$5,034","$5,624","$6,235","$6,315","$6,334","$6,360","$6,355","$6,360","$6,353","$6,352",0%,0%
Georgia,"$3,411","$3,678","$3,909","$4,181","$4,453","$5,008","$5,872","$7,298","$7,539","$7,823","$8,049","$8,447","$8,415","$8,580","$8,544","$8,719",2%,8%
Hawaii,"$3,386","$3,491","$4,227","$5,017","$5,823","$6,638","$7,458","$8,368","$8,613","$9,073","$9,696","$10,175","$10,651","$10,610","$10,801","$10,978",2%,13%
Idaho,"$3,591","$3,922","$4,156","$4,382","$4,612","$4,886","$5,330","$5,682","$5,989","$6,325","$6,599","$6,818","$7,013","$7,250","$7,591","$7,999",5%,21%
Illinois,"$6,494","$6,914","$8,058","$9,099","$10,021","$10,410","$10,969","$11,630","$12,168","$12,580","$12,791","$13,027","$13,440","$13,700","$14,000","$14,166",1%,11%
Indiana,"$5,847","$6,155","$6,555","$6,875","$7,222","$7,643","$7,988","$8,343","$8,715","$8,926","$9,033","$9,120","$9,245","$9,380","$9,487","$9,675",2%,7%
Iowa,"$5,407","$5,619","$5,900","$6,218","$6,433","$6,712","$7,155","$7,562","$7,831","$7,837","$7,855","$7,877","$8,270","$8,760","$9,081","$9,364",3%,19%
Kansas,"$4,242","$4,699","$5,213","$5,746","$6,010","$6,312","$6,627","$6,920","$7,280","$7,729","$8,256","$8,443","$8,907","$8,880","$9,091","$9,196",1%,11%
Kentucky,"$4,476","$5,029","$5,764","$6,279","$6,809","$7,116","$7,519","$7,974","$8,462","$8,701","$9,208","$9,567","$9,971","$10,320","$10,715","$10,902",2%,18%
