state,year_2019_20
Alabama,10918
Alaska,8233
Arizona,11921
Arkansas,9033
California,9966
Colorado,11380
Connecticut,13664
Delaware,13292
District of Columbia,8444
Florida,6352
Georgia,8719
Hawaii,10978
Idaho,7999
Illinois,14166
Indiana,9675
Iowa,9364
Kansas,9196
Kentucky,10902
Louisiana,9614
Maine,10478
Maryland,10115
Massachusetts,13641
Michigan,13771
Minnesota,11834
Mississippi,8596
Missouri,9022
Montana,7204
Nebraska,8745
Nevada,7953
New Hampshire,16916
New Jersey,14536
New Mexico,7432
New York,8434
North Carolina,7281
North Dakota,9289
Ohio,11330
Oklahoma,8919
Oregon,11220
Pennsylvania,14937
Puerto Rico,4004
Rhode Island,13060
South Carolina,13057
South Dakota,8977
Tennessee,10255
Texas,10468
Utah,7162
Vermont,17474
Virginia,13627
Washington,10077
West Virginia,8487
Wisconsin,9104
Wyoming,5581
,
,
,
