state,year_2019_20
Alabama,4871
Alaska,
Arizona,2606
Arkansas,3761
California,1428
Colorado,4525
Connecticut,4505
Delaware,4925
District of Columbia,
Florida,3249
Georgia,4042
Hawaii,4018
Idaho,4192
Illinois,4198
Indiana,4840
Iowa,5459
Kansas,3194
Kentucky,5460
Louisiana,4189
Maine,3767
Maryland,4782
Massachusetts,6580
Michigan,3991
Minnesota,5605
Mississippi,3332
Missouri,3780
Montana,3796
Nebraska,3271
Nevada,3543
New Hampshire,7095
New Jersey,5218
New Mexico,1859
New York,5634
North Carolina,2449
North Dakota,4989
Ohio,4873
Oklahoma,4494
Oregon,5624
Pennsylvania,5658
Puerto Rico,
Rhode Island,4700
South Carolina,5854
South Dakota,6989
Tennessee,4646
Texas,2754
Utah,3901
Vermont,8205
Virginia,5255
Washington,4611
West Virginia,4384
Wisconsin,4619
Wyoming,4173
