state,occupation,employee_count,annual_mean_pay,hourly_mean_pay
AL,All Occupations,1943760,43790,21.05
AL,Management Occupations,73860,109680,52.73
AL,Chief Executives,1390,204590,98.36
AL,General and Operations Managers,28600,118440,56.94
AL,Legislators,970,31760,
AL,Advertising and Promotions Managers,50,110480,53.12
AL,Marketing Managers,770,118200,56.82
AL,Sales Managers,2390,115750,55.65
AL,Public Relations and Fundraising Managers,510,89950,43.24
AL,Administrative Services Managers,750,93840,45.11
AL,Computer and Information Systems Managers,3200,126300,60.72
AL,Financial Managers,4910,128690,61.87
AL,Industrial Production Managers,3530,103430,49.73
AL,Purchasing Managers,850,106940,51.41
AL,"Transportation, Storage, and Distribution Managers",1030,88330,42.47
AL,Compensation and Benefits Managers,60,108580,52.20
AL,Human Resources Managers,1280,105190,50.57
AL,Training and Development Managers,140,113400,54.52
AL,Construction Managers,2850,96500,46.40
AL,"Education Administrators, Preschool and Childcare Center/Program",330,39100,18.80
AL,"Education Administrators, Elementary and Secondary School",3590,83420,
AL,"Education Administrators, Postsecondary",2340,111960,53.83
AL,"Education Administrators, All Other",620,95830,46.07
AL,Architectural and Engineering Managers,2290,138470,66.57
AL,Food Service Managers,2380,58590,28.17
AL,Funeral Service Managers,160,78000,37.50
AL,Lodging Managers,480,53050,25.51
AL,Medical and Health Services Managers,3240,101560,48.83
AL,Natural Sciences Managers,170,112140,53.92
AL,Postmasters and Mail Superintendents,270,78480,37.73
AL,"Property, Real Estate, and Community Association Managers",1220,64890,31.20
AL,Social and Community Service Managers,1200,66430,31.94
AL,Emergency Management Directors,170,69060,33.20
AL,"Managers, All Other",2110,106680,51.29
AL,Business and Financial Operations Occupations,74370,71700,34.47
AL,Buyers and Purchasing Agents,6350,68440,32.91
AL,"Claims Adjusters, Examiners, and Investigators",4080,65060,31.28
AL,"Insurance Appraisers, Auto Damage",370,61130,29.39
AL,Compliance Officers,1740,67700,32.55
AZ,Actuaries,170,,
AL,Cost Estimators,2160,59870,28.78
AL,Human Resources Specialists,5350,60660,29.16
AL,Labor Relations Specialists,1010,42590,20.48
AL,Logisticians,3730,87600,42.11
AL,Management Analysts,4540,94020,45.20
AL,"Meeting, Convention, and Event Planners",530,44280,21.29
AL,Fundraisers,670,52650,25.31
AL,"Compensation, Benefits, and Job Analysis Specialists",610,62610,30.10
AL,Training and Development Specialists,2330,60280,28.98
AL,Market Research Analysts and Marketing Specialists,3780,59980,28.83
AL,"Business Operations Specialists, All Other",7470,85140,40.93
AL,Accountants and Auditors,15720,70310,33.80
AL,Appraisers and Assessors of Real Estate,660,54340,26.13
AL,Budget Analysts,920,82480,39.65
AL,Credit Analysts,470,80900,38.90
AL,Financial Analysts,1330,88350,42.47
AL,Personal Financial Advisors,1990,117350,56.42
AL,Insurance Underwriters,990,60750,29.21
AL,Financial Examiners,1130,59910,28.80
AL,Credit Counselors,170,48260,23.20
AL,Loan Officers,3910,67860,32.63
AL,"Tax Examiners and Collectors, and Revenue Agents",1060,56860,27.34
AL,Tax Preparers,640,38520,18.52
AL,"Financial Specialists, All Other",660,75170,36.14
AL,Computer and Mathematical Occupations,41560,84290,40.53
AL,Computer and Information Research Scientists,,138510,66.59
AL,Computer Systems Analysts,3910,84950,40.84
AL,Information Security Analysts,1150,92500,44.47
AL,Computer Programmers,7750,87340,41.99
AL,"Software Developers, Applications",6210,96400,46.35
AL,"Software Developers, Systems Software",4360,105890,50.91
AL,Web Developers,640,67250,32.33
AL,Database Administrators,1880,83580,40.19
AL,Network and Computer Systems Administrators,3850,76370,36.72
AL,Computer Network Architects,970,104580,50.28
AL,Computer User Support Specialists,5920,49120,23.61
AL,Computer Network Support Specialists,1180,59060,28.39
AL,"Computer Occupations, All Other",1920,87060,41.86
AL,Actuaries,80,102080,49.08
AL,Operations Research Analysts,650,89380,42.97
AL,Statisticians,170,61860,29.74
AL,Architecture and Engineering Occupations,43510,87340,41.99
AL,"Architects, Except Landscape and Naval",1210,91380,43.93
AL,Landscape Architects,70,66030,31.75
AL,Cartographers and Photogrammetrists,130,65660,31.57
AL,Surveyors,610,56010,26.93
AL,Aerospace Engineers,4080,115820,55.69
AL,Chemical Engineers,470,112780,54.22
AL,Civil Engineers,4370,84320,40.54
AL,Computer Hardware Engineers,1160,108040,51.94
AL,Electrical Engineers,4540,97310,46.78
AL,"Electronics Engineers, Except Computer",1730,108980,52.39
AL,Environmental Engineers,770,82020,39.43
AL,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",500,97260,46.76
AL,Industrial Engineers,5630,87870,42.25
AL,Marine Engineers and Naval Architects,40,,
AL,Materials Engineers,710,94590,45.47
AL,Mechanical Engineers,3430,90030,43.29
AL,"Mining and Geological Engineers, Including Mining Safety Engineers",180,97670,46.96
AL,Nuclear Engineers,80,102100,49.09
AL,Petroleum Engineers,90,115180,55.38
AL,"Engineers, All Other",3730,115710,55.63
AL,Architectural and Civil Drafters,1140,52740,25.36
AL,Electrical and Electronics Drafters,200,55550,26.71
AL,Mechanical Drafters,710,56960,27.39
AL,"Drafters, All Other",240,42790,20.57
AL,Aerospace Engineering and Operations Technicians,420,60630,29.15
AL,Civil Engineering Technicians,1430,43060,20.70
AL,Electrical and Electronics Engineering Technicians,2330,61120,29.38
AL,Electro-Mechanical Technicians,120,62140,29.88
AL,Environmental Engineering Technicians,280,50550,24.30
AL,Industrial Engineering Technicians,1030,54760,26.33
AL,Mechanical Engineering Technicians,520,57670,27.73
AL,"Engineering Technicians, Except Drafters, All Other",720,59380,28.55
AL,Surveying and Mapping Technicians,830,42850,20.60
AL,"Life, Physical, and Social Science Occupations",8560,64860,31.18
AL,Food Scientists and Technologists,30,54340,26.12
AL,Soil and Plant Scientists,50,63130,30.35
AL,Biochemists and Biophysicists,60,87520,42.08
AL,Microbiologists,,59660,28.68
AL,Zoologists and Wildlife Biologists,130,57600,27.69
AL,"Biological Scientists, All Other",260,67200,32.31
AL,Conservation Scientists,130,59310,28.51
AL,Foresters,170,65230,31.36
AL,"Medical Scientists, Except Epidemiologists",180,90300,43.41
AL,"Life Scientists, All Other",120,99720,47.94
AL,Physicists,160,133930,64.39
AL,Atmospheric and Space Scientists,230,104130,50.06
AL,Chemists,610,76220,36.65
AL,Materials Scientists,70,66170,31.81
AL,"Environmental Scientists and Specialists, Including Health",840,67630,32.51
AL,"Geoscientists, Except Hydrologists and Geographers",210,64970,31.24
AL,"Physical Scientists, All Other",110,122420,58.86
AL,Economists,50,103740,49.88
AL,"Clinical, Counseling, and School Psychologists",720,69070,33.21
AL,"Psychologists, All Other",140,90050,43.29
AL,Urban and Regional Planners,360,59630,28.67
AL,Anthropologists and Archeologists,60,54390,26.15
AL,Historians,40,67870,32.63
AL,"Social Scientists and Related Workers, All Other",220,84890,40.81
AL,Agricultural and Food Science Technicians,100,37960,18.25
AL,Biological Technicians,300,38130,18.33
AL,Chemical Technicians,1130,50740,24.39
AL,Geological and Petroleum Technicians,40,52180,25.09
AL,"Environmental Science and Protection Technicians, Including Health",300,51520,24.77
AL,Forensic Science Technicians,210,49990,24.03
AL,Forest and Conservation Technicians,200,43970,21.14
AL,"Life, Physical, and Social Science Technicians, All Other",1030,46600,22.40
AL,Community and Social Service Occupations,18720,44790,21.54
AL,"Educational, Guidance, School, and Vocational Counselors",3770,53420,25.68
AL,Marriage and Family Therapists,240,40540,19.49
AL,Rehabilitation Counselors,980,43080,20.71
AL,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",1600,42640,20.50
AL,"Counselors, All Other",110,59150,28.44
AL,"Child, Family, and School Social Workers",3460,40710,19.57
AL,Healthcare Social Workers,2770,47740,22.95
AL,Mental Health and Substance Abuse Social Workers,1070,36700,17.65
AL,"Social Workers, All Other",420,59860,28.78
AL,Health Educators,330,53060,25.51
AL,Probation Officers and Correctional Treatment Specialists,1110,45680,21.96
AL,Social and Human Service Assistants,1350,28740,13.82
AL,Community Health Workers,760,42830,20.59
AL,"Community and Social Service Specialists, All Other",210,26630,12.80
AL,Clergy,450,47140,22.66
AL,"Directors, Religious Activities and Education",60,85670,41.19
AL,"Religious Workers, All Other",50,41430,19.92
AL,Legal Occupations,10060,86770,41.71
AL,Lawyers,5540,117100,56.30
AL,"Administrative Law Judges, Adjudicators, and Hearing Officers",110,124100,59.66
AL,"Arbitrators, Mediators, and Conciliators",50,68190,32.78
AL,"Judges, Magistrate Judges, and Magistrates",580,59780,28.74
AL,Paralegals and Legal Assistants,3000,45530,21.89
AL,Court Reporters,280,40500,19.47
AL,"Title Examiners, Abstractors, and Searchers",250,43440,20.89
AL,"Legal Support Workers, All Other",240,54730,26.31
AL,"Education, Training, and Library Occupations",103640,48690,23.41
AL,"Business Teachers, Postsecondary",840,98110,
AL,"Computer Science Teachers, Postsecondary",410,92930,
AL,"Mathematical Science Teachers, Postsecondary",670,66350,
AL,"Architecture Teachers, Postsecondary",50,90870,
AL,"Engineering Teachers, Postsecondary",530,107400,
AL,"Agricultural Sciences Teachers, Postsecondary",190,88820,
AL,"Forestry and Conservation Science Teachers, Postsecondary",50,90520,
AL,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",90,86800,
AL,"Chemistry Teachers, Postsecondary",280,80840,
AL,"Physics Teachers, Postsecondary",140,85990,
AL,"Anthropology and Archeology Teachers, Postsecondary",40,75470,
AL,"Economics Teachers, Postsecondary",130,114020,
AL,"Geography Teachers, Postsecondary",40,78650,
AL,"Political Science Teachers, Postsecondary",150,76380,
AL,"Psychology Teachers, Postsecondary",400,68660,
AL,"Sociology Teachers, Postsecondary",140,68630,
AL,"Social Sciences Teachers, Postsecondary, All Other",,81430,
AL,"Health Specialties Teachers, Postsecondary",1960,108310,
AL,"Nursing Instructors and Teachers, Postsecondary",1330,66670,
AL,"Education Teachers, Postsecondary",880,72430,
AL,"Library Science Teachers, Postsecondary",110,76660,
AL,"Criminal Justice and Law Enforcement Teachers, Postsecondary",90,68230,
AL,"Law Teachers, Postsecondary",90,152430,
AL,"Social Work Teachers, Postsecondary",120,70450,
AL,"Art, Drama, and Music Teachers, Postsecondary",730,65560,
AL,"Communications Teachers, Postsecondary",250,64270,
AL,"English Language and Literature Teachers, Postsecondary",930,58690,
AL,"Foreign Language and Literature Teachers, Postsecondary",140,58720,
