state,2004_05,2005_06,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20,1_year_percent_change,5_year_percentage_change
Alabama,4510.0,4782.0,4906.0,5244.0,5968.0,6487.0,7373.0,8001.0,8734.0,9161.0,9480.0,9746.0,10083.0,10650.0,10777.0,10918.0,1.0,15.0
Alaska,3435.0,3793.0,4194.0,4425.0,4678.0,4922.0,5261.0,5455.0,5785.0,5885.0,6138.0,6703.0,7128.0,7440.0,7821.0,8233.0,5.0,34.0
Arizona,4078.0,4434.0,4674.0,4959.0,5584.0,6554.0,8075.0,9435.0,9728.0,10078.0,10396.0,10634.0,10931.0,11210.0,11545.0,11921.0,3.0,15.0
Arkansas,4581.0,4980.0,5314.0,5599.0,5914.0,5980.0,6304.0,6654.0,6995.0,7251.0,7594.0,7882.0,8254.0,8550.0,8701.0,9033.0,4.0,19.0
California,4195.0,4526.0,4549.0,4951.0,5436.0,6550.0,7485.0,8933.0,8986.0,9078.0,9171.0,9267.0,9302.0,9800.0,9875.0,9966.0,1.0,9.0
Colorado,3733.0,4427.0,4772.0,5435.0,5792.0,6270.0,7078.0,7872.0,8441.0,9096.0,9283.0,9748.0,10287.0,10810.0,11157.0,11380.0,2.0,23.0
Connecticut,6336.0,6754.0,7135.0,7574.0,8038.0,8456.0,8977.0,9217.0,9635.0,10232.0,10646.0,11174.0,11781.0,12180.0,12744.0,13664.0,7.0,28.0
Delaware,6629.0,7050.0,7403.0,7808.0,8291.0,9012.0,9623.0,10438.0,10908.0,11259.0,11495.0,11676.0,11929.0,12180.0,12726.0,13292.0,4.0,16.0
District of Columbia,2520.0,2520.0,3210.0,3770.0,3770.0,5370.0,7000.0,7000.0,7244.0,7255.0,7338.0,7421.0,7844.0,8060.0,8252.0,8444.0,2.0,15.0
Florida,3054.0,3213.0,3315.0,3386.0,3825.0,4316.0,5034.0,5624.0,6235.0,6315.0,6334.0,6360.0,6355.0,6360.0,6353.0,6352.0,0.0,0.0
Georgia,3411.0,3678.0,3909.0,4181.0,4453.0,5008.0,5872.0,7298.0,7539.0,7823.0,8049.0,8447.0,8415.0,8580.0,8544.0,8719.0,2.0,8.0
Hawaii,3386.0,3491.0,4227.0,5017.0,5823.0,6638.0,7458.0,8368.0,8613.0,9073.0,9696.0,10175.0,10651.0,10610.0,10801.0,10978.0,2.0,13.0
Idaho,3591.0,3922.0,4156.0,4382.0,4612.0,4886.0,5330.0,5682.0,5989.0,6325.0,6599.0,6818.0,7013.0,7250.0,7591.0,7999.0,5.0,21.0
Illinois,6494.0,6914.0,8058.0,9099.0,10021.0,10410.0,10969.0,11630.0,12168.0,12580.0,12791.0,13027.0,13440.0,13700.0,14000.0,14166.0,1.0,11.0
Indiana,5847.0,6155.0,6555.0,6875.0,7222.0,7643.0,7988.0,8343.0,8715.0,8926.0,9033.0,9120.0,9245.0,9380.0,9487.0,9675.0,2.0,7.0
Iowa,5407.0,5619.0,5900.0,6218.0,6433.0,6712.0,7155.0,7562.0,7831.0,7837.0,7855.0,7877.0,8270.0,8760.0,9081.0,9364.0,3.0,19.0
Kansas,4242.0,4699.0,5213.0,5746.0,6010.0,6312.0,6627.0,6920.0,7280.0,7729.0,8256.0,8443.0,8907.0,8880.0,9091.0,9196.0,1.0,11.0
Kentucky,4476.0,5029.0,5764.0,6279.0,6809.0,7116.0,7519.0,7974.0,8462.0,8701.0,9208.0,9567.0,9971.0,10320.0,10715.0,10902.0,2.0,18.0
Louisiana,3534.0,3695.0,3770.0,3830.0,4073.0,4282.0,4733.0,5246.0,5875.0,6605.0,7324.0,8130.0,8933.0,9310.0,9506.0,9614.0,1.0,31.0
Maine,5601.0,6065.0,6616.0,7334.0,8078.0,8544.0,8945.0,9366.0,9363.0,9391.0,9544.0,9573.0,9687.0,9900.0,10211.0,10478.0,3.0,10.0
Maryland,6770.0,7137.0,7216.0,7314.0,7392.0,7476.0,7737.0,7961.0,8210.0,8480.0,8682.0,9163.0,9358.0,9690.0,9907.0,10115.0,2.0,16.0
Massachusetts,7034.0,7335.0,7583.0,7887.0,8239.0,9239.0,9488.0,10165.0,10649.0,10748.0,10968.0,11615.0,12312.0,12790.0,13218.0,13641.0,3.0,24.0
Michigan,6294.0,7097.0,7673.0,8499.0,9130.0,9761.0,10135.0,10841.0,11193.0,11600.0,11599.0,11994.0,12477.0,13060.0,13446.0,13771.0,2.0,19.0
Minnesota,6463.0,6944.0,7518.0,7798.0,8317.0,8788.0,9387.0,10018.0,10361.0,10464.0,10564.0,10831.0,11016.0,11340.0,11531.0,11834.0,3.0,12.0
Mississippi,3991.0,4184.0,4450.0,4757.0,4947.0,4952.0,5294.0,5673.0,6159.0,6565.0,6859.0,7147.0,7481.0,7950.0,8416.0,8596.0,2.0,25.0
Missouri,5934.0,6271.0,6526.0,6845.0,7228.0,7215.0,7271.0,7685.0,7945.0,8093.0,8395.0,8553.0,8628.0,8500.0,8650.0,9022.0,4.0,7.0
Montana,4468.0,4918.0,5258.0,5302.0,5336.0,5485.0,5612.0,5881.0,6155.0,6225.0,6291.0,6351.0,6431.0,6910.0,7102.0,7204.0,1.0,15.0
Nebraska,4720.0,5302.0,5229.0,5581.0,5956.0,6234.0,6600.0,6906.0,7184.0,7315.0,7335.0,7608.0,7894.0,8290.0,8527.0,8745.0,3.0,19.0
Nevada,2874.0,3019.0,3645.0,3948.0,4397.0,4543.0,5318.0,6043.0,6390.0,6387.0,6427.0,6661.0,6910.0,7330.0,7667.0,7953.0,4.0,24.0
New Hampshire,8085.0,8584.0,9127.0,9698.0,10293.0,11075.0,11946.0,13502.0,14615.0,14652.0,14731.0,15160.0,15700.0,16080.0,16559.0,16916.0,2.0,15.0
New Jersey,7979.0,8601.0,9331.0,9974.0,10748.0,11133.0,11649.0,12030.0,12417.0,12723.0,13005.0,13306.0,13562.0,13860.0,14184.0,14536.0,2.0,12.0
New Mexico,3909.0,4247.0,4056.0,4248.0,4520.0,4786.0,5128.0,5435.0,5678.0,5960.0,6155.0,6406.0,6636.0,6920.0,7127.0,7432.0,4.0,21.0
New York,4948.0,5006.0,5041.0,5076.0,5121.0,5740.0,5793.0,6204.0,6562.0,6926.0,7293.0,7645.0,7710.0,7930.0,8159.0,8434.0,3.0,16.0
North Carolina,3566.0,3655.0,4067.0,4306.0,4391.0,4539.0,5323.0,5689.0,6201.0,6516.0,6673.0,6969.0,7199.0,7380.0,7228.0,7281.0,1.0,9.0
North Dakota,4606.0,5074.0,5512.0,5803.0,6107.0,6335.0,6569.0,6861.0,7006.0,7274.0,7514.0,7688.0,7890.0,8190.0,8669.0,9289.0,7.0,24.0
Ohio,8236.0,8340.0,8444.0,8462.0,8474.0,8505.0,9056.0,9448.0,9768.0,9942.0,10087.0,10205.0,10307.0,10460.0,10805.0,11330.0,5.0,12.0
Oklahoma,3535.0,3798.0,4432.0,4993.0,5641.0,5421.0,5750.0,6071.0,6403.0,6583.0,7082.0,7450.0,8032.0,8490.0,8800.0,8919.0,1.0,26.0
Oregon,5221.0,5430.0,5576.0,5946.0,6239.0,6906.0,7434.0,7994.0,8312.0,8600.0,8934.0,9371.0,9740.0,10320.0,10608.0,11220.0,6.0,26.0
Pennsylvania,8249.0,8643.0,9051.0,9792.0,10353.0,10764.0,11331.0,12085.0,12377.0,12802.0,13135.0,13393.0,13944.0,14510.0,14814.0,14937.0,1.0,14.0
Puerto Rico,1174.0,1411.0,1421.0,1786.0,1868.0,1892.0,2549.0,2613.0,2741.0,1912.0,2088.0,2110.0,2175.0,2100.0,3755.0,4004.0,7.0,92.0
Rhode Island,5933.0,6439.0,6787.0,7221.0,7727.0,8503.0,9319.0,10014.0,10921.0,10896.0,10959.0,11396.0,11423.0,12240.0,12566.0,13060.0,4.0,19.0
South Carolina,6611.0,7385.0,7913.0,8371.0,9132.0,9520.0,10063.0,10356.0,10744.0,11166.0,11450.0,11816.0,12207.0,12600.0,12966.0,13057.0,1.0,14.0
South Dakota,4348.0,4593.0,4969.0,5343.0,5698.0,6031.0,6318.0,6793.0,7388.0,7644.0,7700.0,8055.0,8161.0,8440.0,8684.0,8977.0,3.0,17.0
Tennessee,4306.0,4763.0,4973.0,5365.0,5686.0,6098.0,6522.0,7170.0,7676.0,8036.0,8925.0,9263.0,9537.0,9800.0,9977.0,10255.0,3.0,15.0
Texas,5075.0,5385.0,5985.0,6450.0,6919.0,7328.0,7744.0,8053.0,8344.0,8521.0,8837.0,9221.0,9536.0,9880.0,10163.0,10468.0,3.0,18.0
Utah,3274.0,3583.0,3816.0,4059.0,4275.0,4573.0,4916.0,5300.0,5612.0,5914.0,6161.0,6363.0,6560.0,6780.0,6988.0,7162.0,2.0,16.0
Vermont,8783.0,9248.0,9783.0,10485.0,11341.0,12016.0,12474.0,13095.0,13525.0,13965.0,14476.0,14993.0,15562.0,16030.0,16998.0,17474.0,3.0,21.0
Virginia,5579.0,6023.0,6556.0,7008.0,7581.0,7936.0,8809.0,9535.0,9901.0,10366.0,11183.0,11818.0,12353.0,12820.0,13491.0,13627.0,1.0,22.0
Washington,4914.0,5252.0,5670.0,5986.0,6433.0,7321.0,8197.0,9494.0,10595.0,10811.0,10685.0,10287.0,9270.0,9490.0,9844.0,10077.0,2.0,-6.0
West Virginia,3631.0,3871.0,4166.0,4406.0,4707.0,4980.0,5226.0,5536.0,5885.0,6253.0,6687.0,7143.0,7492.0,7910.0,8295.0,8487.0,2.0,27.0
Wisconsin,5218.0,5626.0,6042.0,6413.0,6796.0,7169.0,7711.0,8197.0,8690.0,8741.0,8770.0,8809.0,8933.0,8920.0,9014.0,9104.0,1.0,4.0
Wyoming,3243.0,3429.0,3515.0,3554.0,3621.0,3726.0,3927.0,4125.0,4278.0,4404.0,4646.0,4891.0,5055.0,5220.0,5400.0,5581.0,3.0,20.0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
